SEQN,RIDAGEYR,RIDRETH3
95410,76,4
95411,71,4
95412,60,4
95413,51,3
95414,27,1
95415,36,3
95416,36,6
95417,63,1
95418,59,4
95419,68,6
95420,18,1
95421,78,3
95422,39,3
95423,33,6
95424,40,3
95425,22,1
95426,0,1
95427,62,4
95428,0,3
95429,60,1
95430,2,4
95431,66,3
95432,18,3
95433,11,4
95434,78,2
95435,15,6
95436,43,1
95437,23,6
95438,1,3
95439,3,3
95440,69,3
95441,0,3
95442,33,3
95443,0,3
95444,37,3
95445,24,2
95446,42,1
95447,70,1
95448,80,3
95449,55,2
95450,38,4
95451,3,1
95452,38,3
95453,39,1
95454,60,1
95455,47,2
95456,6,1
95457,16,4
95458,10,1
95459,63,1
95460,11,1
95461,8,4
95462,4,7
95463,19,1
95464,3,3
95465,56,1
95466,52,3
95467,80,3
95468,63,3
95469,28,3
95470,3,1
95471,80,3
95472,34,3
95473,36,3
95474,34,4
95475,8,4
95476,8,4
95477,13,6
95478,11,2
95479,57,3
95480,71,3
95481,19,3
95482,14,6
95483,0,3
95484,80,4
95485,18,3
95486,36,4
95487,17,4
95488,21,3
95489,9,3
95490,13,7
95491,2,2
95492,80,3
95493,25,3
95494,22,2
95495,75,3
95496,10,4
95497,6,3
95498,3,2
95499,52,4
95500,61,3
95501,25,3
95502,1,3
95503,52,1
95504,61,3
95505,29,3
95506,48,6
95507,2,4
95508,63,4
95509,51,3
95510,51,6
95511,56,4
95512,0,3
95513,3,4
95514,35,1
95515,69,4
95516,15,4
95517,19,1
95518,16,7
95519,53,3
95520,4,4
95521,13,7
95522,22,3
95523,9,3
95524,62,1
95525,51,4
95526,80,7
95527,58,3
95528,75,3
95529,2,4
95530,0,2
95531,58,3
95532,24,1
95533,68,3
95534,67,2
95535,46,7
95536,11,4
95537,48,6
95538,1,3
95539,69,4
95540,68,1
95541,65,1
95542,56,4
95543,28,6
95544,29,3
95545,14,6
95546,15,1
95547,57,7
95548,28,3
95549,53,1
95550,62,3
95551,57,1
95552,5,4
95553,79,4
95554,7,3
95555,18,1
95556,41,2
95557,79,4
95558,56,1
95559,42,3
95560,1,2
95561,63,4
95562,1,4
95563,46,3
95564,11,6
95565,29,6
95566,78,3
95567,1,7
95568,34,6
95569,23,4
95570,2,3
95571,54,3
95572,75,3
95573,23,3
95574,36,3
95575,64,4
95576,73,3
95577,63,3
95578,62,6
95579,54,4
95580,1,2
95581,44,6
95582,32,6
95583,69,1
95584,9,3
95585,19,1
95586,26,4
95587,29,3
95588,72,4
95589,63,4
95590,61,2
95591,36,6
95592,14,3
95593,70,3
95594,50,6
95595,43,3
95596,12,1
95597,71,3
95598,22,2
95599,47,3
95600,74,7
95601,69,3
95602,21,1
95603,3,7
95604,16,1
95605,3,7
95606,25,1
95607,42,3
95608,67,4
95609,22,3
95610,41,2
95611,53,7
95612,24,7
95613,9,7
95614,2,2
95615,78,4
95616,17,1
95617,60,4
95618,16,4
95619,16,4
95620,6,3
95621,73,6
95622,42,3
95623,60,6
95624,0,4
95625,43,6
95626,76,1
95627,74,6
95628,18,7
95629,80,3
95630,80,4
95631,13,1
95632,1,2
95633,64,1
95634,13,4
95635,7,1
95636,51,2
95637,74,3
95638,16,2
95639,31,1
95640,19,4
95641,50,7
95642,13,1
95643,20,3
95644,62,1
95645,67,1
95646,0,3
95647,8,6
95648,72,3
95649,48,4
95650,3,3
95651,80,3
95652,44,1
95653,5,4
95654,72,3
95655,22,3
95656,78,7
95657,31,3
95658,29,3
95659,46,4
95660,7,3
95661,59,3
95662,44,3
95663,43,1
95664,47,3
95665,23,3
95666,33,3
95667,2,2
95668,68,1
95669,56,3
95670,4,1
95671,66,1
95672,75,4
95673,80,4
95674,49,4
95675,66,2
95676,53,2
95677,8,4
95678,34,4
95679,14,1
95680,45,3
95681,80,3
95682,3,6
95683,0,3
95684,30,3
95685,30,3
95686,18,3
